task_id,City,T_clear,E_clear,T_dark,E_dark,Delta_T,Delta_E,latitude,hdd,cdd,ghi,t_ave,C_Total_GJ,C_Day_GJ,C_Night_GJ,H_Total_GJ,H_Day_GJ,H_Night_GJ,Total_HVAC_GJ,Annual_DNI_kWhm2,Annual_DHI_kWhm2,t_avg,t_min,t_max,avg_rh,avg_ws,shgc_clear,shgc_dark,Delta_SHGC,Ave_SHGC
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.1_ec0.2_td0.1_ed0.7,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.1,0.2,0.1,0.7,0,0.5,-26.2,368.1,4684.1,1772.4,22.73,333.162,225.338,107.8241,9.8823,2.1836,7.6987,343.0443,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.280975,0.254098,0.026877,0.2675365
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.1_ec0.1_td0.1_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.1,0.1,0.1,0.9,0,0.8,-26.2,368.1,4684.1,1772.4,22.73,328.5257,221.4663,107.0594,9.6914,2.1114,7.58,338.2171,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.285257,0.245726,0.039531,0.2654915
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.3_ec0.3_td0.3_ed0.8,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.3,0.3,0.3,0.8,0,0.5,-26.2,368.1,4684.1,1772.4,22.73,352.7688,237.7829,114.9859,8.7951,2.0128,6.7823,361.5639,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.427877,0.409899,0.017978,0.418888
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.9_ec0.9_td0.1_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.9,0.9,0.1,0.9,0.8,0,-26.2,368.1,4684.1,1772.4,22.73,329.0657,221.9134,107.1522,8.7785,2.0343,6.7442,337.8442,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.901537,0.245726,0.655811,0.5736315
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.7_ec0.2_td0.5_ed0.5,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.7,0.2,0.5,0.5,0.2,0.3,-26.2,368.1,4684.1,1772.4,22.73,381.4647,257.5773,123.8874,6.9015,1.6469,5.2546,388.3662,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.741935,0.577491,0.164444,0.659713
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.9_ec0.1_td0.9_ed0.1,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.9,0.1,0.9,0.1,0,0,-26.2,368.1,4684.1,1772.4,22.73,431.8916,290.475,141.4167,5.2917,1.3452,3.9465,437.1833,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.901883,0.901883,0,0.901883
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.7_ec0.5_td0.3_ed0.8,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.7,0.5,0.3,0.8,0.4,0.3,-26.2,368.1,4684.1,1772.4,22.73,353.0746,238.0384,115.0361,8.0458,1.8844,6.1613,361.1204,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.738268,0.409899,0.328369,0.5740835
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.7_ec0.2_td0.5_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.7,0.2,0.5,0.9,0.2,0.7,-26.2,368.1,4684.1,1772.4,22.73,374.7049,252.391,122.3139,7.0374,1.6724,5.365,381.7423,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.741935,0.570103,0.171832,0.656019
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.7_ec0.2_td0.1_ed0.2,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.7,0.2,0.1,0.2,0.6,0,-26.2,368.1,4684.1,1772.4,22.73,350.3976,239.6119,110.7857,7.9267,1.8305,6.0961,358.3243,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.741935,0.280975,0.46096,0.511455
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.9_ec0.1_td0.1_ed0.1,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.9,0.1,0.1,0.1,0.8,0,-26.2,368.1,4684.1,1772.4,22.73,355.2373,243.5913,111.646,7.3071,1.7253,5.5817,362.5444,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.901883,0.285257,0.616626,0.59357
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.9_ec0.1_td0.5_ed0.8,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.9,0.1,0.5,0.8,0.4,0.7,-26.2,368.1,4684.1,1772.4,22.73,376.3031,253.6313,122.6718,6.4959,1.5802,4.9156,382.799,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.901883,0.571595,0.330288,0.736739
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.9_ec0.1_td0.9_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.9,0.1,0.9,0.9,0,0.8,-26.2,368.1,4684.1,1772.4,22.73,425.3734,287.4877,137.8856,5.5317,1.3941,4.1377,430.9051,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.901883,0.901537,0.000346,0.90171
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.6_ec0.2_td0.4_ed0.6,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.6,0.2,0.4,0.6,0.2,0.4,-29.88,824.8,3605.1,1847.31,19.53,262.9135,191.7675,71.1459,25.8502,5.9303,19.9199,288.7637,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.664027,0.495226,0.168801,0.5796265
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.9_ec0.1_td0.1_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.9,0.1,0.1,0.9,0.8,0.8,-29.88,824.8,3605.1,1847.31,19.53,225.8099,165.66,60.1499,26.0746,5.8789,20.1957,251.8845,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.901883,0.245726,0.656157,0.5738045
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.6_ec0.3_td0.3_ed0.3,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.6,0.3,0.3,0.3,0.3,0,-29.88,824.8,3605.1,1847.31,19.53,261.0009,191.4723,69.5286,26.7328,6.1313,20.6015,287.7337,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.660822,0.427877,0.232945,0.5443495
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.8_ec0.3_td0.5_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.8,0.3,0.5,0.9,0.3,0.6,-26.2,368.1,4684.1,1772.4,22.73,374.7776,252.4523,122.3252,6.9882,1.6732,5.315,381.7658,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.820522,0.570103,0.250419,0.6953125
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.1_ec0.9_td0.1_ed0.9,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.1,0.9,0.1,0.9,0,0,-26.2,368.1,4684.1,1772.4,22.73,328.4027,221.3668,107.0358,11.6022,2.6983,8.9039,340.0049,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.245726,0.245726,0,0.245726
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.7_ec0.2_td0.2_ed0.6,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.7,0.2,0.2,0.6,0.5,0.4,-29.88,824.8,3605.1,1847.31,19.53,242.612,178.0308,64.5812,26.7074,6.0497,20.6577,269.3194,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.741935,0.33689,0.405045,0.5394125
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.1_ec0.1_td0.1_ed0.1,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.1,0.1,0.1,0.1,0,0,-29.88,824.8,3605.1,1847.31,19.53,251.0306,186.4589,64.5717,31.2353,7.031,24.2044,282.2659,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.285257,0.285257,0,0.285257
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.4_ec0.5_td0.3_ed0.7,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.4,0.5,0.3,0.7,0.1,0.2,-26.2,368.1,4684.1,1772.4,22.73,354.8285,239.4533,115.3753,8.8156,2.0501,6.7655,363.6441,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.499023,0.413018,0.086005,0.4560205
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.4_ec0.6_td0.3_ed0.7,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.4,0.6,0.3,0.7,0.1,0.1,-29.88,824.8,3605.1,1847.31,19.53,249.8806,182.5602,67.3204,30.2623,7.0231,23.2393,280.1429,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.495226,0.413018,0.082208,0.454122
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.8_ec0.6_td0.7_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.8,0.6,0.7,0.9,0.1,0.3,-29.88,824.8,3605.1,1847.31,19.53,292.0878,211.9647,80.1231,23.9236,5.5763,18.3473,316.0114,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.818839,0.734382,0.084457,0.7766105
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.9_ec0.9_td0.9_ed0.9,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.9,0.9,0.9,0.9,0,0,-29.88,824.8,3605.1,1847.31,19.53,317.1815,229.9903,87.1912,22.6339,5.3265,17.3075,339.8154,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.901537,0.901537,0,0.901537
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.5_ec0.6_td0.4_ed0.7,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.5,0.6,0.4,0.7,0.1,0.1,-26.2,368.1,4684.1,1772.4,22.73,366.1187,246.9341,119.1846,8.3361,1.965,6.3711,374.4548,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.575575,0.492892,0.082683,0.5342335
ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY_tc0.2_ec0.3_td0.1_ed0.4,ARG_Formosa_Formosa.Intl.AP_871620_ArgTMY,0.2,0.3,0.1,0.4,0.1,0.1,-26.2,368.1,4684.1,1772.4,22.73,342.1677,232.815,109.3527,9.6068,2.1624,7.4444,351.7745,1626.16,824.64,22.73,0.3,39,74.06,3.58,0.350296,0.270456,0.07984,0.310376
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.6_ec0.8_td0.2_ed0.8,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.6,0.8,0.2,0.8,0.4,0,-29.88,824.8,3605.1,1847.31,19.53,237.653,173.9778,63.6752,30.0639,6.8922,23.1717,267.7169,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.652613,0.329176,0.323437,0.4908945
ARG_Santa.Fe_Ceres_872570_ArgTMY_tc0.4_ec0.4_td0.3_ed0.5,ARG_Santa.Fe_Ceres_872570_ArgTMY,0.4,0.4,0.3,0.5,0.1,0.1,-29.88,824.8,3605.1,1847.31,19.53,254.7358,186.4502,68.2856,29.1231,6.7205,22.4026,283.8589,1844.36,782.2,19.53,-3.8,39.6,69.63,4.07,0.501529,0.420223,0.081306,0.460876
